tok,c_br,c_pt,fpm_br,fpm_pt,delta_fpm,abs_delta_fpm
você,1199774,261717,16019.064,3480.445,-12538.619,12538.619
eu,1148071,787419,15328.739,10471.497,-4857.242,4857.242
me,501163,320281,6691.395,4259.259,-2432.136,2432.136
tu,12782,168278,170.662,2237.846,2067.184,2067.184
está,646392,518975,8630.454,6901.593,-1728.862,1728.862
seu,276361,150266,3689.899,1998.313,-1691.585,1691.585
ele,566939,448748,7569.619,5967.679,-1601.941,1601.941
estás,7761,127672,103.623,1697.847,1594.224,1594.224
sua,257744,142610,3441.329,1896.5,-1544.829,1544.829
isso,471841,366776,6299.896,4877.573,-1422.322,1422.322
isto,114994,214736,1535.369,2855.668,1320.299,1320.299
pra,113093,15040,1509.988,200.01,-1309.978,1309.978
tens,6452,96012,86.145,1276.816,1190.671,1190.671
à,126195,214573,1684.922,2853.501,1168.578,1168.578
tua,11798,97552,157.524,1297.296,1139.772,1139.772
teu,13771,97245,183.867,1293.213,1109.347,1109.347
tem,293145,215320,3913.994,2863.435,-1050.56,1050.56
és,5611,80433,74.917,1069.639,994.722,994.722
sabe,146423,76602,1955.001,1018.692,-936.309,936.309
ti,6986,74652,93.275,992.76,899.485,899.485
sabes,4658,71531,62.192,951.256,889.063,889.063
pode,204818,139065,2734.676,1849.357,-885.319,885.319
vais,4282,66502,57.172,884.377,827.205,827.205
cara,87360,26236,1166.408,348.9,-817.508,817.508
ela,299011,240892,3992.315,3203.504,-788.811,788.811
vai,263750,206292,3521.52,2743.376,-778.144,778.144
quer,155732,98370,2079.292,1308.174,-771.118,771.118
queres,3735,61521,49.869,818.137,768.269,768.269
as,284385,340167,3797.033,4523.713,726.68,726.68
ao,162030,216521,2163.382,2879.406,716.025,716.025
porque,124613,178398,1663.8,2372.427,708.627,708.627
nós,173877,123110,2321.56,1637.179,-684.38,684.38
podes,3550,54704,47.399,727.482,680.083,680.083
já,170292,221568,2273.694,2946.524,672.83,672.83
eles,171973,125830,2296.138,1673.351,-622.787,622.787
há,151801,195691,2026.807,2602.398,575.592,575.592
fazendo,50700,8237,676.933,109.54,-567.393,567.393
vocês,107056,65614,1429.383,872.568,-556.815,556.815
certo,99983,59079,1334.946,785.663,-549.284,549.284
esse,100381,60054,1340.26,798.629,-541.632,541.632
te,156997,196041,2096.182,2607.053,510.87,510.87
essa,96469,59310,1288.028,788.734,-499.294,499.294
aqui,303205,267848,4048.313,3561.979,-486.334,486.334
acha,63457,27727,847.261,368.728,-478.533,478.533
seus,78357,45006,1046.202,598.513,-447.689,447.689
nos,160333,127571,2140.724,1696.504,-444.22,444.22
cá,15318,47408,204.522,630.456,425.934,425.934
fazer,180526,213039,2410.335,2833.101,422.765,422.765
disse,133925,103473,1788.131,1376.036,-412.095,412.095
então,174902,145313,2335.245,1932.446,-402.799,402.799
pois,16203,46286,216.338,615.535,399.197,399.197
contigo,7338,36629,97.975,487.111,389.136,389.136
esta,103259,132807,1378.687,1766.135,387.448,387.448
achas,1794,30696,23.953,408.211,384.258,384.258
poderia,50018,22021,667.827,292.846,-374.981,374.981
falando,33243,5807,443.852,77.224,-366.627,366.627
tenho,167534,195372,2236.869,2598.156,361.286,361.286
este,93284,120663,1245.503,1604.638,359.135,359.135
precisa,52235,25736,697.428,342.25,-355.177,355.177
ei,47178,21145,629.908,281.197,-348.711,348.711
espera,17772,43695,237.287,581.078,343.791,343.791
algo,101224,76006,1351.516,1010.766,-340.75,340.75
lugar,64067,39099,855.406,519.958,-335.447,335.447
falar,75051,99902,1002.061,1328.547,326.486,326.486
estava,154477,130751,2062.536,1738.793,-323.743,323.743
suas,52769,29341,704.558,390.191,-314.366,314.366
si,11114,34789,148.391,462.642,314.251,314.251
diga,40703,17285,543.456,229.865,-313.591,313.591
sim,194146,218468,2592.186,2905.298,313.112,313.112
sobre,117194,94120,1564.743,1251.655,-313.088,313.088
vamos,203287,180775,2714.234,2404.038,-310.196,310.196
olá,22546,44895,301.028,597.036,296.008,296.008
lá,133900,156668,1787.797,2083.451,295.653,295.653
tipo,37440,59601,499.889,792.604,292.715,292.715
garota,26415,4835,352.686,64.298,-288.388,288.388
deveria,33425,11905,446.282,158.319,-287.963,287.963
desculpa,9689,31048,129.365,412.892,283.527,283.527
pegar,27626,6532,368.855,86.866,-281.989,281.989
tentando,25326,4446,338.146,59.125,-279.021,279.021
ser,190733,212263,2546.616,2822.781,276.165,276.165
tentar,19500,39511,260.359,525.437,265.078,265.078
tudo,187807,168679,2507.549,2243.179,-264.37,264.37
ótimo,25158,5560,335.903,73.94,-261.963,261.963
oi,22660,3106,302.55,41.305,-261.245,261.245
num,30138,49902,402.395,663.622,261.228,261.228
fez,57649,38367,769.714,510.224,-259.49,259.49
indo,24143,4730,322.351,62.902,-259.449,259.449
estou,228448,209855,3050.177,2790.758,-259.419,259.419
agora,200051,181352,2671.028,2411.711,-259.317,259.317
consigo,20632,40136,275.473,533.749,258.276,258.276
passa,9506,28851,126.922,383.675,256.754,256.754
olhe,32026,13067,427.603,173.772,-253.831,253.831
oh,62500,43780,834.483,582.209,-252.275,252.275
idéia,22966,4334,306.636,57.636,-249.0,249.0
ter,143899,162945,1921.301,2166.925,245.624,245.624
ideia,10018,28303,133.758,376.388,242.63,242.63
dos,105758,124337,1412.053,1653.496,241.444,241.444
teus,3019,21120,40.309,280.864,240.556,240.556
garoto,21896,3953,292.35,52.569,-239.781,239.781
ah,32684,14948,436.388,198.786,-237.602,237.602
dizendo,21513,3915,287.236,52.064,-235.172,235.172
legal,21251,3680,283.738,48.939,-234.799,234.799
papai,20951,3426,279.732,45.561,-234.172,234.172
pensar,23431,40631,312.844,540.332,227.487,227.487
acho,124711,108111,1665.108,1437.715,-227.393,227.393
todo,62674,45861,836.807,609.883,-226.924,226.924
rapariga,1207,18132,16.116,241.129,225.013,225.013
sinto,37540,20957,501.224,278.697,-222.527,222.527
jeito,23467,6878,313.325,91.467,-221.858,221.858
fique,27711,11500,369.99,152.933,-217.057,217.057
vez,81640,98231,1090.036,1306.326,216.29,216.29
anda,9316,25566,124.385,339.99,215.605,215.605
espere,26501,10627,353.834,141.323,-212.511,212.511
disseste,950,16604,12.684,220.808,208.124,208.124
venha,27953,12727,373.221,169.25,-203.971,203.971
tá,18212,2966,243.162,39.443,-203.718,203.718
pensando,18888,3673,252.188,48.845,-203.342,203.342
viu,33473,18331,446.923,243.775,-203.148,203.148
faça,32152,17113,429.285,227.577,-201.708,201.708
dê,22522,7522,300.708,100.031,-200.676,200.676
deixe,24865,9918,331.991,131.895,-200.096,200.096
numa,24343,39408,325.021,524.068,199.046,199.046
deve,72475,57802,967.667,768.68,-198.987,198.987
porquê,6499,21488,86.773,285.758,198.985,198.985
das,63351,78520,845.846,1044.199,198.353,198.353
novo,54830,40337,732.076,536.422,-195.654,195.654
óptimo,704,15144,9.4,201.393,191.993,191.993
gostaria,31658,17490,422.689,232.591,-190.098,190.098
mr,3815,18106,50.937,240.783,189.846,189.846
mamãe,17215,3069,229.85,40.813,-189.037,189.037
temos,91980,106460,1228.093,1415.759,187.667,187.667
vou,201462,188295,2689.867,2504.042,-185.825,185.825
fizeste,947,14860,12.644,197.616,184.972,184.972
sr,103229,89931,1378.286,1195.948,-182.338,182.338
altura,4739,18347,63.274,243.988,180.714,180.714
devias,825,14402,11.015,191.525,180.51,180.51
têm,31132,44808,415.666,595.88,180.213,180.213
esperando,16799,3466,224.296,46.093,-178.203,178.203
achei,23795,10518,317.705,139.874,-177.831,177.831
fazes,838,14043,11.189,186.751,175.562,175.562
chance,16498,3487,220.277,46.372,-173.905,173.905
deixa-me,1570,14615,20.962,194.358,173.395,173.395
ouve,3830,16848,51.137,224.053,172.916,172.916
senhor,80363,67685,1072.985,900.109,-172.876,172.876
foste,829,13560,11.069,180.328,169.259,169.259
hora,47273,34743,631.177,462.03,-169.147,169.147
veja,22721,10229,303.365,136.03,-167.334,167.334
