dataset,domain,split,step_name,removed_rows,rows_after_step,source_db
PtBrVId,journalistic,train,empty,0,1842804,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,journalistic,train,jusText,125637,1717167,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,journalistic,train,author,0,1717167,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,journalistic,train,clean,0,1717167,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,journalistic,train,dedup,41,1717126,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,journalistic,train,filters,109925,1607201,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,journalistic,train,IQR,34068,1573133,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,legal,train,empty,0,4302002,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,legal,train,jusText,2191007,2110995,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,legal,train,author,0,2110995,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,legal,train,clean,0,2110995,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,legal,train,dedup,11851,2099144,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,legal,train,filters,909484,1189660,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,legal,train,IQR,71129,1118531,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,literature,train,empty,0,81984,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,literature,train,jusText,22471,59513,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,literature,train,author,0,59513,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,literature,train,clean,0,59513,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,literature,train,dedup,0,59513,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,literature,train,filters,18738,40775,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,literature,train,IQR,1376,39399,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,politics,train,empty,0,34604,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,politics,train,jusText,2177,32427,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,politics,train,author,0,32427,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,politics,train,clean,0,32427,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,politics,train,dedup,0,32427,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,politics,train,filters,8002,24425,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,politics,train,IQR,1597,22828,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,social_media,train,empty,0,2678579,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,social_media,train,jusText,2411931,266648,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,social_media,train,author,3,266645,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,social_media,train,clean,0,266645,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,social_media,train,dedup,4016,262629,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,social_media,train,filters,41734,220895,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,social_media,train,IQR,1519,219376,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,web,train,empty,0,133664,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,web,train,jusText,32263,101401,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,web,train,author,0,101401,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,web,train,clean,0,101401,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,web,train,dedup,34,101367,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,web,train,filters,82418,18949,data/duckdb/subs_ptbr_filtered.duckdb
PtBrVId,web,train,IQR,1221,17728,data/duckdb/subs_ptbr_filtered.duckdb
