dataset,split,variant,rows,total_tokens,mean_tokens,tokenizer_source,source_path,unit,notes
FRMT,test,pt-BR,2611,97920,37.502872,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::frmt_test_clean_v.text_pt_br,pair_text,
FRMT,test,pt-PT,2611,101039,38.697434,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::frmt_test_clean_v.text_pt_pt,pair_text,
FRMT,train,pt-BR,2502,94966,37.956035,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::frmt_dev_split_v.text_pt_br[train],pair_text,
FRMT,train,pt-PT,2502,98345,39.306555,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::frmt_dev_split_v.text_pt_pt[train],pair_text,
FRMT,valid,pt-BR,20,764,38.200000,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::frmt_dev_split_v.text_pt_br[valid],pair_text,
FRMT,valid,pt-PT,20,778,38.900000,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/duckdb/subs_project.duckdb::frmt_dev_split_v.text_pt_pt[valid],pair_text,
GPT-Wikipedia,test,pt-BR,566,14801,26.150177,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_wiki/pairs_test.jsonl,pair_text,
GPT-Wikipedia,test,pt-PT,566,14954,26.420495,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_wiki/pairs_test.jsonl,pair_text,
GPT-Wikipedia,train,pt-BR,4519,121542,26.895773,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_wiki/pairs_train.jsonl,pair_text,
GPT-Wikipedia,train,pt-PT,4519,122789,27.171719,/cfs/home/u036584/repos/Thesis/outputs/encoder_decoder/compare_staged/t5gemma2_270m_fullft_stageA_opensubs_plus_ptbrvarid_label_first_with_cls,data/encoder_decoder/t5gemma2/compare_staged_v2/stageB_gpt_wiki/pairs_train.jsonl,pair_text,
